Trip Id,Trip  Duration,Start Station Id,Start Time,Start Station Name,End Station Id,End Time,End Station Name,Bike Id,User Type
10644286,1065,7075,01/01/2021 00:48,Queens Quay W / Dan Leckie Way,7177,01/01/2021 01:05,East Liberty St / Pirandello St,6490,Casual Member
10644287,1536,7203,01/01/2021 00:50,Bathurst St/Queens Quay(Billy Bishop Airport),7242,01/01/2021 01:15,Lake Shore Blvd W / Ontario Dr,2529,Casual Member
10644289,1506,7203,01/01/2021 00:50,Bathurst St/Queens Quay(Billy Bishop Airport),7242,01/01/2021 01:15,Lake Shore Blvd W / Ontario Dr,2090,Casual Member
10644290,1503,7203,01/01/2021 00:50,Bathurst St/Queens Quay(Billy Bishop Airport),7242,01/01/2021 01:15,Lake Shore Blvd W / Ontario Dr,6014,Casual Member
10644291,1507,7203,01/01/2021 00:50,Bathurst St/Queens Quay(Billy Bishop Airport),7242,01/01/2021 01:16,Lake Shore Blvd W / Ontario Dr,6174,Casual Member
10644293,1583,7253,01/01/2021 00:51,John St  / Mercer St - SMART,7472,01/01/2021 01:18,Dundas St E / Victoria St,1422,Annual Member
10644294,859,7164,01/01/2021 00:52,Gould St / Yonge St (Ryerson University),7286,01/01/2021 01:06,Gerrard St E / Broadview - SMART,6795,Annual Member
10644295,445,7047,01/01/2021 00:52,University Ave / Gerrard St W (East Side),7026,01/01/2021 01:00,Bay St / St. Joseph St,3107,Annual Member
10644296,480,7240,01/01/2021 00:53,Bloor St W / Shaw Ave - SMART,7144,01/01/2021 01:01,Palmerston Ave / Vermont Ave,1070,Annual Member
10644297,689,7001,01/01/2021 00:54,Lower Jarvis St / The Esplanade,7470,01/01/2021 01:05,York St / Lake Shore Blvd W,3864,Annual Member
10644298,1565,7518,01/01/2021 00:58,Lake Shore Blvd W / Colborne Lodge Dr,7515,01/01/2021 01:24,Amos Waites Park,1686,Casual Member
10644299,1619,7518,01/01/2021 00:58,Lake Shore Blvd W / Colborne Lodge Dr,7515,01/01/2021 01:25,Amos Waites Park,3402,Casual Member
10644300,1491,7518,01/01/2021 00:58,Lake Shore Blvd W / Colborne Lodge Dr,7515,01/01/2021 01:23,Amos Waites Park,4735,Casual Member
10644301,974,7027,01/01/2021 00:59,Beverley  St / Dundas St W,7037,01/01/2021 01:15,Bathurst St / Dundas St W,1556,Casual Member
10644302,1575,7518,01/01/2021 00:59,Lake Shore Blvd W / Colborne Lodge Dr,7515,01/01/2021 01:25,Amos Waites Park,448,Casual Member
10644305,596,7144,01/01/2021 01:02,Palmerston Ave / Vermont Ave,7133,01/01/2021 01:12,Summerhill Station,6768,Annual Member
10644306,1657,7271,01/01/2021 01:03,Yonge St / Alexander St - SMART,7549,01/01/2021 01:31,439 Sherbourne St - SMART,6882,Annual Member
10644307,1459,7247,01/01/2021 01:05,Howard Park Ave / Dundas St W - SMART,7122,01/01/2021 01:29,Niagara St / Tecumseth St,4237,Annual Member
10644308,556,7144,01/01/2021 01:05,Palmerston Ave / Vermont Ave,7131,01/01/2021 01:14,Taddle Creek Park,1070,Casual Member
10644309,704,7519,01/01/2021 01:06,Sheridan Ave / Dundas St W - SMART,7519,01/01/2021 01:17,Sheridan Ave / Dundas St W - SMART,5875,Annual Member
10644310,1393,7247,01/01/2021 01:06,Howard Park Ave / Dundas St W - SMART,7122,01/01/2021 01:29,Niagara St / Tecumseth St,5451,Annual Member
10644311,562,7184,01/01/2021 01:07,Ossington Ave / College St,7149,01/01/2021 01:16,Yarmouth Rd / Christie St,1436,Annual Member
10644312,556,7410,01/01/2021 01:09,Howard St / Rose Ave - SMART,7121,01/01/2021 01:18,Jarvis St / Dundas St E,1889,Annual Member
10644314,734,7015,01/01/2021 01:11,King St W / Bay St (West Side),7104,01/01/2021 01:23,King St E / River St,5247,Casual Member
10644315,725,7015,01/01/2021 01:11,King St W / Bay St (West Side),7104,01/01/2021 01:23,King St E / River St,851,Annual Member
10644316,325,7256,01/01/2021 01:13,Vanauley St / Queen St W - SMART,7366,01/01/2021 01:19,Fort York Blvd / Bathurst St SMART,280,Annual Member
10644317,105,7291,01/01/2021 01:14,190 Queens Quay E,7101,01/01/2021 01:15,Lower Sherbourne St / The Esplanade,3673,Annual Member
10644318,862,7131,01/01/2021 01:15,Taddle Creek Park,7277,01/01/2021 01:29,Chorley Park - SMART,6627,Casual Member
10644321,1297,7374,01/01/2021 01:17,Frederick St / The Esplanade,7261,01/01/2021 01:38,Queens Quay E / Lower Sherbourne St,4981,Annual Member
10644322,1315,7374,01/01/2021 01:17,Frederick St / The Esplanade,7261,01/01/2021 01:39,Queens Quay E / Lower Sherbourne St,4924,Annual Member
10644325,132,7101,01/01/2021 01:19,Lower Sherbourne St / The Esplanade,7291,01/01/2021 01:22,190 Queens Quay E,5529,Annual Member
10644326,446,7037,01/01/2021 01:20,Bathurst St / Dundas St W,7037,01/01/2021 01:28,Bathurst St / Dundas St W,2158,Casual Member
10644328,423,7242,01/01/2021 01:21,Lake Shore Blvd W / Ontario Dr,7242,01/01/2021 01:28,Lake Shore Blvd W / Ontario Dr,2090,Casual Member
10644329,397,7242,01/01/2021 01:21,Lake Shore Blvd W / Ontario Dr,7242,01/01/2021 01:28,Lake Shore Blvd W / Ontario Dr,2529,Casual Member
10644330,776,7533,01/01/2021 01:23,Housey St / Dan Leckie Way - SMART,7073,01/01/2021 01:36,Spadina Ave / Fort York Blvd,103,Annual Member
